year,return
1928,0.0084
1929,0.0342
1930,0.0454
1931,-0.0531
1932,0.1682
1933,-0.0007
1934,0.1002
1935,0.0498
1936,0.0751
1937,0.0080
1938,0.0553
1939,0.0594
1940,0.0599
1941,0.0093
1942,0.0322
1943,0.0208
1944,0.0281
1945,0.1073
1946,-0.0010
1947,-0.0263
1948,0.0340
1949,0.0645
1950,0.0006
1951,-0.0394
1952,0.0116
1953,0.0363
1954,0.0729
1955,-0.0130
1956,-0.0559
1957,0.0745
1958,-0.0609
1959,-0.0226
1960,0.1369
1961,0.0097
1962,0.0689
1963,0.0121
1964,0.0351
1965,0.0071
1966,0.0365
1967,-0.0919
1968,-0.0026
1969,-0.0508
1970,0.1210
1971,0.1324
1972,0.0568
1973,-0.0111
1974,0.0435
1975,0.0919
1976,0.1575
1977,-0.0069
1978,-0.0116
1979,-0.0118
1980,-0.0395
1981,0.0186
1982,0.4036
1983,0.0065
1984,0.1543
1985,0.3097
1986,0.2453
1987,-0.0275
1988,0.0967
1989,0.1811
1990,0.0618
1991,0.1930
1992,0.0806
1993,0.1821
1994,-0.0777
1995,0.3167
1996,-0.0093
1997,0.1502
1998,0.2132
1999,-0.0825
2000,0.2027
2001,0.0370
2002,0.1759
2003,0.0138
2004,0.0451
2005,0.0287
2006,0.0196
2007,0.1003
2008,0.2022
2009,-0.1112
2010,0.0826
2011,0.1604
2012,0.0297
2013,-0.0917
2014,0.1075
2015,0.0127
2016,0.0069
2017,0.0214
2018,-0.0002
2019,0.0918
2020,0.1121
2021,-0.0426
2022,-0.1746
2023,0.0396
2024,0.0172
